id,source,comment,sentiment
54,YouTube,"I think we have to divide the crew what work for the Arline in to two categories ? One from developed country’s and one from undeveloped country’s ? Crew from India Pakistan Philippines etc ? For them it’s big step in life to have job in Emirates and will do everything to work as long as possible for the Arline ? Many of them helping financially family in the own country ! For many people from Europe or developed country’s like US Australia etc ,when they get bored they can always move back to home country get a good pay job and have good life ! Unfortunately the crew from undeveloped country’s don’t have that opportunity and will work with Arline until they reach age limit and will ask to go ! Also when they go home everyone looks at them like they achieve something. In the life everyone look them like celebrity 😂 but is different for crew from developed country’s",
55,YouTube,"I'm wondering why you said it until now, you hadn't said it while you were working in the company, also the hate is just on the Arabic companies. The salary I believe has helped you to build your life. Come on, all the job are energy consuming.",
56,YouTube,"In an earlier comment, @ThomasMakai wrote: ""I cannot emphasize enough how important it is to resign sooner rather than later."" In my opinion, receiving the ""golden call"" from Emirates and joining their cabin crew is the result of a tremendous amount of hard work. Hard work involves: 1. Meeting the required English language standards. 2. Developing strong communication skills. 3. Practicing for the assessment day (self-presentation, group activities, English test, final interview). 4. Purchasing the necessary attire for the assessment day. 5. Maintaining the appropriate grooming for the assessment day. 6. Passing the required medical examinations. 7. Gathering the necessary paperwork in English. Achieving the golden call is not just a reward for all the effort invested in the months leading up to it - it's more than that. To me, the golden call represents a second chance in life, an opportunity to start anew in a global mega-city like Dubai, a city full of potential. If someone resigns after three or five years as a cabin crew member, it feels like wasting that incredible opportunity. Emirates cabin crew isn’t just about going to Dubai, living there for a few years, and then returning home. Doing that is like throwing away a golden chance to network, build connections, and grow financially. In my view, receiving the golden call from Emirates is like an initiation—a stepping stone to a new life in Dubai. If I were selected as an Emirates cabin crew member, I would know that Dubai and the UAE would be my home for the rest of my life. Failure is not an option, and neither is resignation. Working for Emirates is a gift. For example, someone could work for Emirates as a cabin crew member for 12 years, and then apply for a role in ground operations, IT, or HR. Twelve years is a significant amount of time - plenty of time to upskill, earn additional certifications, or even pursue a university degree or college diploma. There are also opportunities to branch out into other sectors, such as: 1. Shipping, 2. Real estate. Perhaps someone will even have the chance to start their own business or get involved in the exciting new casino projects coming to the UAE. There’s so much happening in Dubai and the UAE, and I believe resignation is not an option. This golden call is not an opportunity to be missed.",
57,YouTube,"Hi first of all I would like to tell you that you are one of the people who love to watch all their videos and I haven't missed a video of yours for 4 years so I would like to thank you very much for your really great and wonderful videos, thank you from the bottom of my heart❤ and I have a question if you allow me to ask them: 1) Is there a colleague of yours who is 174 cm tall (taking into account that I will adjust my BMI to be in the green zone)? I know that the company says 160 or 165 but have you met anyone who is the same height as me or at the same level because in the past two years I was frustrated because of this thing? 2) Secondly, is working for a year and a half as a receptionist in a hotel considered customer service? And also a salesperson in a small shop in my city is considered as well? 3) Can you explain the CV with an example please, because I have heard these days about ready-made templates, so do you use them or do we use the old clear method without colors? 4) As for English, is it necessary to be very fluent in it? I can express myself and understand well what is said in English but I lack some terms (speed of speech, nothing more) 5) When will the one-on-one sessions that you used to offer return? 6) When will I know that this profession does not suit me if I was rejected more than once by more than one company? 7) I do not know how to put it but..) I love my appearance and I love me as I am and I do not want to change anything about it but to be honest with you I have many doubts because of this thing, so is it considered a big factor...?",
58,YouTube,Trolley Dolley to HR😂😂😂😂 Sounds like you are way overqualified for a job in HR.,
59,YouTube,"Heyy, I have tried to get to Emirates, Ettihad, Qatar, Wizzair, LOT, Ryanair numerous times. I failed training at LOT, resigned from training at Ryanair due to previous failure in LOT despite my knowledge. Didn't have mental force to continue due to not get paid even for a day of training at LOT. I want to be a cabin crew for some certain amount of time to raise money, travel a bit and invest as you said. My issue is, that even after a training at LOT I acknowledged ab myself I am not that obedient, not saying his thought person. I know that airlines e.g. emirates, ettihad looks for such people who sometimes do not have hobbies or anything that makes them creative due to the fact as you said - this job ain't creative. Still, I am ready to sacrifice myself and work at my flaws to get that job because I love aviation, travelling and I am dreaming about estabilishing my own business as a young entrepreneur. I am looking forward for your video how to get to Emirates because they constantly reject me after either 1st step or 1st group challange.",
60,YouTube,Jetlag is bad enough being a passenger on long haul flights.A life of constant jetlag but having to smile constantly as a flight attendant working for Emerates would surely lose any appeal very quickly.!.,
61,YouTube,A video with you reacting to the hate comments from other Emirates cabin crew would get a lot of views😆😆😆 Something tells me the hate must have come from cabin crew from developing countries who are very fortunate to have that job and don't know that people from other countries have way higher standards for their employer and life in general.,
62,YouTube,"Worst pay in the world. Despite that I applied at several airlines but from an employee with a candid inside info told me and a relative, I was not gay and even if not gay my mannerisms weren’t flamboyant or effeminate enough. Now looking back it makes sense based on all the interview panels I sat in front of every job app. I’m a 6’3"" bearded lumber jack/ cop look so I don’t fit the gay/gay supporter demographic.",
63,YouTube,2000 $ is a very lousy salary tbh,
